plaque6,,plaque5,,plaque4,,plaque3,,plaquenoire,,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,
2254,73.87123871,2254,66.6896286,2254,71.13741302,2254,72.41912842,2254,5.647288799,
2253,73.87596893,2253,66.65867615,2253,71.1627655,2253,72.36375427,2253,5.601987839,
2252,73.87711334,2252,66.69165802,2252,71.20145416,2252,72.41016388,2252,5.648763657,
2251,73.81141663,2251,66.60773468,2251,71.14316559,2251,72.36301422,2251,5.63962698,
2250,73.79689789,2250,66.59825134,2250,71.14862823,2250,72.36119843,2250,5.623797894,
2249,73.78443146,2249,66.59835052,2249,71.12788391,2249,72.36650085,2249,5.626593113,
2248,73.78954315,2248,66.55877686,2248,71.10548401,2248,72.34860992,2248,5.665380001,
2247,73.80511475,2247,66.58505249,2247,71.12071228,2247,72.34921265,2247,5.70302248,
2246,73.76396179,2246,66.52832794,2246,71.08840179,2246,72.32378387,2246,5.652123451,
2245,73.78334045,2245,66.54916382,2245,71.1125412,2245,72.33164215,2245,5.660829544,
2244,73.78214264,2244,66.54705048,2244,71.10247803,2244,72.3035202,2244,5.672406673,
2243,73.74533844,2243,66.46621704,2243,71.05163574,2243,72.282547,2243,5.697088718,
2242,73.68443298,2242,66.41256714,2242,71.02158356,2242,72.25080109,2242,5.601931572,
2241,73.7469635,2241,66.44878387,2241,71.03703308,2241,72.26966858,2241,5.642343998,
2240,73.7328186,2240,66.44927979,2240,71.05384064,2240,72.29154205,2240,5.629330635,
2239,73.68938446,2239,66.43416595,2239,71.03224945,2239,72.28315735,2239,5.661918163,
2238,73.67393494,2238,66.38385773,2238,70.99072266,2238,72.24073792,2238,5.596512318,
2237,73.71763611,2237,66.42777252,2237,71.03762054,2237,72.25378418,2237,5.678771973,
2236,73.68924713,2236,66.38196564,2236,70.98338318,2236,72.20302582,2236,5.656588078,
2235,73.68816376,2235,66.37689209,2235,70.97245789,2235,72.2314682,2235,5.632024765,
2234,73.68299103,2234,66.34909058,2234,70.95449829,2234,72.22344208,2234,5.668045044,
2233,73.69203949,2233,66.37075806,2233,70.95742798,2233,72.23675537,2233,5.655202866,
2232,73.64870453,2232,66.31912231,2232,70.97096252,2232,72.19616699,2232,5.649487495,
2231,73.63981628,2231,66.30461121,2231,70.93338013,2231,72.20146942,2231,5.653210163,
2230,73.64378357,2230,66.28090668,2230,70.90434265,2230,72.18451691,2230,5.615527153,
2229,73.62042999,2229,66.27175903,2229,70.90898132,2229,72.17393494,2229,5.617750645,
2228,73.59222412,2228,66.25471497,2228,70.86594391,2228,72.147995,2228,5.622571468,
2227,73.62093353,2227,66.26850128,2227,70.88562012,2227,72.14514923,2227,5.64992094,
2226,73.61893463,2226,66.2538681,2226,70.88005829,2226,72.12612915,2226,5.663184643,
2225,73.60427856,2225,66.23342896,2225,70.87084198,2225,72.12909698,2225,5.617687225,
2224,73.59707642,2224,66.25549316,2224,70.8505249,2224,72.1427002,2224,5.650071621,
2223,73.57801819,2223,66.20411682,2223,70.8468399,2223,72.108284,2223,5.600337029,
