Time [s],Power [mW]
343,10.747981771338795
344,10.931421739450526
345,10.658605775356317
346,10.810701096387083
347,10.793685198460519
348,10.759867157686454
349,10.781242850102124
350,10.506852344951696
351,10.772167181287422
352,10.796938343309563
353,10.789863558688337
354,10.796526027157725
355,10.77825129031163
356,10.776881742672836
357,10.77347016234445
358,10.680146912681131
359,10.744340445056856
360,10.74007666770418
361,10.741464717015768
362,10.765114666054583
363,10.780977978355493
364,10.762914387362487
365,10.802032074682833
366,10.790783341318585
367,10.803530589719372
368,10.475800556758355
369,10.764439030474286
370,10.78471376581573
371,10.750702234796643
372,10.605610041291564
373,10.802213797766903
374,10.753892522133475
375,10.741989743989794
376,10.76304245143039
377,10.772169492593754
378,10.734025510127589
379,10.769860144181981
380,10.723118037365602
381,10.760751050726604
382,10.769887695270471
383,10.783733838216989
384,10.738823668447491
385,10.751069507544464
386,10.775837188246129
387,10.739427938471781
388,10.74909197327337
389,10.73044076553158
390,10.739653961117494
391,10.785922035414634
392,10.583364437219235
393,10.78252769844358
394,10.729835384281321
395,10.759998451377736
396,10.73402191344016
397,10.722798827023109
398,10.76685479998713
399,10.745859374972566
400,10.737053276791688
401,10.716955120537019
402,10.737549606868889
403,10.74667794733595
404,10.764040133701462
405,10.753861294932847
406,10.771726941514505
407,10.735134509068887
408,10.701700553677831
409,10.756678466899876
410,10.51435193549791
411,10.575582440886363
412,10.739901339610412
413,10.726543215173862
414,10.741598851001879
415,10.722233144457487
416,10.678434549753755
417,10.717978022170438
418,10.720173085685534
419,10.749884249791046
420,10.716204457792625
421,10.680390145711673
422,10.703299110624302
423,10.69145284500259
424,10.733558993093784
425,10.70542496219559
426,10.720461061670497
427,10.744026619775674
428,10.714703963218412
429,10.720559022424338
430,10.728235755003187
431,10.675432037324196
432,10.710894912066605
433,10.743184401478153
434,10.72697384587748
435,10.683311690849148
436,10.64960484141597
437,10.693434078977976
438,10.655775878792923
439,10.752748803749242
440,10.701252830098193
441,10.773333466867996
442,10.578564356599987
443,10.717078582923751
444,10.723803583664676
445,10.71992915036288
446,10.699280189611653
447,10.682348886729338
448,10.675973076836833
449,10.709127512826084
450,10.686887088587296
451,10.689761064509558
452,10.674151560052756
453,10.676624343119629
454,10.659007049774916
455,10.677480208491586
456,10.688797946929869
457,10.685921192010255
458,10.334653107621406
459,10.698654341732045
460,10.660885719952109
461,10.682200170161796
462,10.655990782683103
463,10.694181116562978
464,10.667925022022828
465,10.659272653756478
466,10.677318295574977
467,10.66229415014708
468,10.693208324466829
469,10.720620204131167
470,10.700224541045316
471,10.679391301595217
472,10.722712234183776
473,10.674939319843258
474,10.689082793956988
475,10.700260108512236
476,10.69955209503474
477,10.714354229655516
478,10.668428387199949
479,10.671312165622874
480,10.711933432481725
481,10.67714598010034
482,10.660620660178243
483,10.53667821628327
484,10.719926542092029
485,10.67274832562761
486,10.728918448730791
487,10.75193263447189
488,10.684918722653244
489,10.71639432028087
490,10.717244377918178
491,10.69306610809473
492,10.658197406832803
493,10.661857220779783
494,10.66111033956536
495,10.713197846619277
496,10.703142435770541
497,10.668576266345175
498,10.667913295873754
499,10.677702601980094
500,10.677143191487247
501,10.541375319106447
502,10.705645207339174
503,10.694228007974875
504,10.675456655286688
505,10.692010828240896
506,10.701539476450872
507,10.650934510911553
508,10.696164759181777
509,10.651019597963463
510,10.550442850798841
511,10.684032992744726
512,10.671040622221376
513,10.678334688657182
514,10.68578106076057
515,10.687506415053623
516,10.490416437742123
517,10.670229677549571
518,10.683997904057358
519,10.661099270991343
520,10.543919149780805
521,10.65199115222494
522,10.669376763524554
523,10.56014558422705
524,10.6498476705693
525,10.688486162342787
526,10.681734181681268
527,10.740656346438854
528,10.685865023321712
529,10.64487392144607
530,10.684235389075255
531,10.661940259332638
532,10.69687988934946
533,10.634442267602717
534,10.62402776888945
535,10.635803346981845
536,10.64308717973011
537,10.602580011683443
538,10.637593123044754
539,10.644589680922389
540,10.685610580943083
541,10.41738248875583
542,10.61059805689164
543,10.655822712178582
544,10.646324509073825
545,10.635016593509249
546,10.637947850232509
547,10.616916643526082
548,10.61247195324535
549,10.625304929308935
550,10.65632888932396
551,10.631512411775685
552,10.653091156049728
553,10.63652949430854
554,10.617210958871189
555,10.613937726148524
556,10.624753089599526
557,10.616178960824241
558,10.613990809464763
559,10.637864771382816
560,10.731674830297814
561,10.637517625067725
562,10.62731137292302
563,10.6499827239526
564,10.639056700504586
565,10.623560261835454
566,10.625981575972856
567,10.617855828261712
568,10.642386797224217
569,10.64868512943529
570,10.660840654674159
571,10.606365994044545
572,10.623456996871264
573,10.649813145753164
574,10.650052059213165
575,10.615219655196025
576,10.615906570131063
577,10.595676045357031
578,10.646911588855595
579,10.616774109292495
580,10.627751591194594
581,10.331404435388194
582,10.665818843343423
583,10.578499695795355
584,10.470585739366452
585,10.503036661371095
586,10.548509852407285
587,10.650472643414716
588,10.640209381595586
589,10.656735120876268
590,10.640087689896095
591,10.642490209954705
592,10.642987045807304
593,10.605563851963193
594,10.651599096247871
595,10.515618897352201
596,10.458512806029546
597,10.653505573844315
598,10.632011083384835
599,10.62150505851504
